code_module,code_presentation,id_student,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,final_result
AAA,2013J,70464,0,0,0,0,86,0,236,0,2,572,0,0,0,0,0,0,4,0,36,22,Pass
AAA,2013J,71361,3,0,0,0,702,0,329,0,0,825,0,0,0,0,0,0,40,0,120,79,Pass
AAA,2013J,74372,0,0,0,0,14,0,30,0,0,37,0,0,0,0,0,0,1,0,21,2,Fail
AAA,2013J,75091,11,0,0,0,691,0,507,0,0,1133,0,0,0,0,0,0,22,0,127,43,Pass
AAA,2013J,77367,0,0,0,0,59,0,223,0,0,230,0,0,0,0,0,0,5,0,64,24,Pass
AAA,2013J,91265,8,0,0,0,3,0,406,0,0,849,0,0,0,0,0,0,6,0,110,36,Pass
AAA,2013J,94961,0,0,0,0,7,0,53,0,0,143,0,0,0,0,0,0,0,0,43,11,Withdrawn
AAA,2013J,98094,9,0,0,0,22,0,368,0,0,1839,0,0,0,0,0,0,8,0,101,7,Pass
AAA,2013J,100893,4,0,0,0,250,0,154,0,1,218,0,0,0,0,0,0,5,0,63,22,Pass
AAA,2013J,101781,9,0,0,0,611,0,639,0,0,2062,0,0,0,0,0,0,14,0,244,160,Pass
AAA,2013J,102806,3,0,0,0,411,0,523,0,0,791,0,0,0,0,0,0,14,0,74,1,Pass
AAA,2013J,102952,5,0,0,0,214,0,165,0,0,589,0,0,0,0,0,0,22,0,99,25,Pass
AAA,2013J,104476,9,0,0,0,319,0,704,0,5,2783,0,0,0,0,0,0,37,0,235,123,Pass
AAA,2013J,106247,0,0,0,0,59,0,117,0,1,230,0,0,0,0,0,0,16,0,39,3,Withdrawn
AAA,2013J,106577,0,0,0,0,81,0,147,0,0,312,0,0,0,0,0,0,7,0,37,0,Pass
AAA,2013J,110175,0,0,0,0,30,0,199,0,0,482,0,0,0,0,0,0,47,0,138,53,Pass
AAA,2013J,111717,13,0,0,0,237,0,457,0,2,1157,0,0,0,0,0,0,13,0,131,54,Pass
AAA,2013J,113295,16,0,0,0,802,0,976,0,4,1383,0,0,0,0,0,0,32,0,221,116,Pass
AAA,2013J,114017,0,0,0,0,5,0,171,0,0,334,0,0,0,0,0,0,36,0,144,39,Pass
AAA,2013J,114999,6,0,0,0,107,0,204,0,2,771,0,0,0,0,0,0,20,0,55,31,Pass
AAA,2013J,116541,3,0,0,0,56,0,397,0,0,1140,0,0,0,0,0,0,1,0,123,104,Pass
AAA,2013J,116692,0,0,0,0,9,0,253,0,0,428,0,0,0,0,0,0,2,0,55,36,Pass
AAA,2013J,118983,0,0,0,0,9,0,60,0,0,147,0,0,0,0,0,0,14,0,41,5,Pass
AAA,2013J,123044,3,0,0,0,390,0,484,0,2,856,0,0,0,0,0,0,9,0,199,95,Pass
AAA,2013J,127582,0,0,0,0,187,0,313,0,0,659,0,0,0,0,0,0,18,0,86,25,Pass
AAA,2013J,129955,6,0,0,0,20,0,277,0,0,544,0,0,0,0,0,0,1,0,35,20,Withdrawn
AAA,2013J,132976,6,0,0,0,45,0,80,0,0,271,0,0,0,0,0,0,6,0,41,2,Pass
AAA,2013J,134143,24,0,0,0,18,0,466,0,4,1955,0,0,0,0,0,0,23,0,56,0,Distinction
AAA,2013J,135335,0,0,0,0,0,0,19,0,0,33,0,0,0,0,0,0,0,0,3,0,Withdrawn
AAA,2013J,135400,0,0,0,0,21,0,61,0,0,149,0,0,0,0,0,0,3,0,41,12,Withdrawn
AAA,2013J,137873,5,0,0,0,2623,0,1004,0,0,1390,0,0,0,0,0,0,23,0,183,59,Pass
AAA,2013J,141355,7,0,0,0,876,0,251,0,0,506,0,0,0,0,0,0,18,0,87,30,Pass
AAA,2013J,141377,1,0,0,0,25,2,33,0,0,51,0,0,0,0,0,0,4,0,27,0,Withdrawn
AAA,2013J,142326,17,0,0,0,367,0,480,0,0,842,0,0,0,0,0,0,12,0,158,103,Pass
AAA,2013J,144801,2,0,0,0,2021,1,1020,0,2,1930,0,0,0,0,0,0,38,0,276,134,Pass
AAA,2013J,145130,0,0,0,0,49,0,91,0,0,246,0,0,0,0,0,0,10,0,18,0,Pass
AAA,2013J,146188,0,0,0,0,69,0,132,0,2,286,0,0,0,0,0,0,10,0,43,5,Fail
AAA,2013J,147756,0,0,0,0,73,0,162,0,0,218,0,0,0,0,0,0,2,0,35,5,Fail
AAA,2013J,147793,0,0,0,0,52,0,31,0,0,35,0,0,0,0,0,0,1,0,17,0,Withdrawn
AAA,2013J,148993,3,0,0,0,804,1,354,0,0,372,0,0,0,0,0,0,6,0,42,12,Withdrawn
AAA,2013J,151358,0,0,0,0,3,0,34,0,0,183,0,0,0,0,0,0,6,0,39,5,Pass
AAA,2013J,155550,0,0,0,0,95,0,316,0,0,776,0,0,0,0,0,0,30,0,150,69,Pass
AAA,2013J,155854,40,0,0,0,768,0,943,0,1,1838,0,0,0,0,0,0,21,0,60,4,Pass
AAA,2013J,155984,1,0,0,0,147,0,139,0,2,255,0,0,0,0,0,0,7,0,67,37,Withdrawn
AAA,2013J,157568,8,0,0,0,30,0,271,0,1,844,0,0,0,0,0,0,5,0,106,76,Pass
AAA,2013J,159954,0,0,0,0,143,1,222,0,2,568,0,0,0,0,0,0,1,0,68,40,Withdrawn
AAA,2013J,164259,0,0,0,0,51,0,117,0,0,153,0,0,0,0,0,0,24,0,84,31,Pass
AAA,2013J,167906,0,0,0,0,274,0,403,0,0,490,0,0,0,0,0,0,7,0,118,82,Pass
AAA,2013J,168936,6,0,0,0,270,0,125,0,0,261,0,0,0,0,0,0,9,0,37,17,Pass
AAA,2013J,172112,0,0,0,0,231,1,301,0,0,1002,0,0,0,0,0,0,23,0,199,133,Pass
AAA,2013J,172797,6,0,0,0,273,1,422,0,0,797,0,0,0,0,0,0,21,0,106,20,Pass
AAA,2013J,174782,5,0,0,0,2836,0,1223,0,3,1425,0,0,0,0,0,0,15,0,252,176,Pass
AAA,2013J,175392,5,0,0,0,1927,0,778,0,0,839,0,0,0,0,0,0,48,0,140,110,Pass
AAA,2013J,175932,13,0,0,0,232,0,301,0,0,1018,0,0,0,0,0,0,7,0,115,28,Pass
AAA,2013J,175991,0,0,0,0,13,0,34,0,0,65,0,0,0,0,0,0,0,0,23,1,Fail
AAA,2013J,180753,9,0,0,0,738,0,338,0,0,619,0,0,0,0,0,0,11,0,132,52,Pass
AAA,2013J,181316,0,0,0,0,140,0,41,0,0,189,0,0,0,0,0,0,2,0,18,3,Withdrawn
AAA,2013J,183096,3,0,0,0,257,0,341,0,0,891,0,0,0,0,0,0,13,0,137,77,Pass
AAA,2013J,183947,0,0,0,0,290,1,171,0,0,395,0,0,0,0,0,0,37,0,57,6,Pass
AAA,2013J,184271,18,0,0,0,90,0,249,0,1,740,0,0,0,0,0,0,7,0,28,4,Pass
AAA,2013J,185439,0,0,0,0,32,1,56,0,4,197,0,0,0,0,0,0,6,0,25,1,Fail
AAA,2013J,186149,2,0,0,0,359,0,387,0,11,751,0,0,0,0,0,0,10,0,85,58,Pass
AAA,2013J,187100,5,0,0,0,2969,0,1958,0,0,1828,0,0,0,0,0,0,17,0,605,355,Distinction
AAA,2013J,188278,0,0,0,0,269,0,302,0,2,427,0,0,0,0,0,0,1,0,103,60,Withdrawn
AAA,2013J,189879,10,0,0,0,410,0,384,0,1,527,0,0,0,0,0,0,8,0,123,76,Pass
AAA,2013J,192183,17,0,0,0,283,0,670,0,0,1716,0,0,0,0,0,0,5,0,192,151,Pass
AAA,2013J,195262,10,0,0,0,337,0,302,0,1,1094,0,0,0,0,0,0,14,0,85,38,Withdrawn
AAA,2013J,200860,0,0,0,0,152,0,181,0,0,81,0,0,0,0,0,0,14,0,61,2,Pass
AAA,2013J,202635,0,0,0,0,454,0,257,0,8,450,0,0,0,0,0,0,6,0,36,11,Withdrawn
AAA,2013J,205350,11,0,0,0,532,0,289,0,4,483,0,0,0,0,0,0,5,0,67,25,Pass
AAA,2013J,205719,0,0,0,0,13,0,77,0,0,185,0,0,0,0,0,0,5,0,29,11,Fail
AAA,2013J,227499,10,0,0,0,1200,0,598,0,0,604,0,0,0,0,0,0,11,0,81,93,Distinction
AAA,2013J,227517,0,0,0,0,253,0,173,0,1,481,0,0,0,0,0,0,7,0,116,20,Fail
AAA,2013J,228082,1,0,0,0,27,0,53,0,0,66,0,0,0,0,0,0,13,0,58,1,Pass
AAA,2013J,228222,0,0,0,0,86,0,132,0,0,147,0,0,0,0,0,0,8,0,41,24,Pass
AAA,2013J,229179,0,0,0,0,57,0,133,0,0,283,0,0,0,0,0,0,5,0,52,19,Pass
AAA,2013J,229361,10,0,0,0,38,0,363,0,0,584,0,0,0,0,0,0,2,0,109,57,Pass
AAA,2013J,231554,2,0,0,0,416,0,264,0,0,921,0,0,0,0,0,0,6,0,64,3,Pass
AAA,2013J,235507,0,0,0,0,5,0,22,0,0,96,0,0,0,0,0,0,1,0,11,2,Withdrawn
AAA,2013J,236284,0,0,0,0,58,0,94,0,0,498,0,0,0,0,0,0,9,0,59,14,Pass
AAA,2013J,238007,8,0,0,0,319,0,353,0,0,910,0,0,0,0,0,0,9,0,107,73,Pass
AAA,2013J,240712,0,0,0,0,13,0,59,0,0,211,0,0,0,0,0,0,2,0,22,2,Pass
AAA,2013J,240884,0,0,0,0,40,0,85,0,0,197,0,0,0,0,0,0,5,0,83,15,Pass
AAA,2013J,241649,13,0,0,0,191,0,313,0,0,976,0,0,0,0,0,0,5,0,73,33,Pass
AAA,2013J,241729,5,0,0,0,191,0,466,0,0,899,0,0,0,0,0,0,19,0,110,49,Fail
AAA,2013J,242793,0,0,0,0,39,0,103,0,0,364,0,0,0,0,0,0,20,0,57,14,Pass
AAA,2013J,246834,0,0,0,0,90,1,181,0,0,551,0,0,0,0,0,0,15,0,142,39,Pass
AAA,2013J,248270,5,0,0,0,408,0,718,0,3,458,0,0,0,0,0,0,7,0,81,24,Pass
AAA,2013J,255548,0,0,0,0,437,2,547,0,0,897,0,0,0,0,0,0,7,0,203,128,Pass
AAA,2013J,256815,9,0,0,0,89,0,437,0,0,632,0,0,0,0,0,0,42,0,134,13,Pass
AAA,2013J,258392,0,0,0,0,55,2,124,0,1,410,0,0,0,0,0,0,52,0,102,47,Pass
AAA,2013J,258894,3,0,0,0,1465,0,1169,0,0,1762,0,0,0,0,0,0,228,0,156,0,Pass
AAA,2013J,260355,0,0,0,0,44,0,125,0,0,209,0,0,0,0,0,0,2,0,12,3,Withdrawn
AAA,2013J,262011,0,0,0,0,230,2,189,0,1,447,0,0,0,0,0,0,8,0,112,30,Pass
AAA,2013J,262934,0,0,0,0,483,0,516,0,0,716,0,0,0,0,0,0,10,0,205,111,Pass
AAA,2013J,268073,8,0,0,0,1281,0,579,0,0,1055,0,0,0,0,0,0,12,0,140,90,Fail
AAA,2013J,268733,0,0,0,0,7,0,37,0,0,123,0,0,0,0,0,0,0,0,18,2,Withdrawn
AAA,2013J,271251,7,0,0,0,105,0,624,0,0,1744,0,0,0,0,0,0,9,0,304,266,Pass
AAA,2013J,277880,0,0,0,0,413,4,373,0,1,944,0,0,0,0,0,0,6,0,130,0,Withdrawn
AAA,2013J,279572,0,0,0,0,101,0,172,0,0,676,0,0,0,0,0,0,12,0,61,1,Distinction
AAA,2013J,281022,0,0,0,0,34,0,81,0,0,312,0,0,0,0,0,0,8,0,39,6,Pass
AAA,2013J,281250,0,0,0,0,14,0,24,0,0,19,0,0,0,0,0,0,5,0,17,0,Fail
AAA,2013J,281589,0,0,0,0,13,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,Fail
AAA,2013J,282821,5,0,0,0,237,0,303,0,0,995,0,0,0,0,0,0,11,0,154,37,Pass
AAA,2013J,286488,0,0,0,0,99,0,122,0,0,719,0,0,0,0,0,0,11,0,54,16,Pass
AAA,2013J,287548,0,0,0,0,17,0,93,0,1,301,0,0,0,0,0,0,1,0,17,2,Pass
AAA,2013J,290201,8,0,0,0,57,0,355,0,1,962,0,0,0,0,0,0,12,0,235,102,Pass
AAA,2013J,290757,0,0,0,0,68,0,92,0,0,132,0,0,0,0,0,0,294,0,54,11,Pass
AAA,2013J,291334,10,0,0,0,2317,12,820,0,0,1286,0,0,0,0,0,0,18,0,231,138,Distinction
AAA,2013J,293699,0,0,0,0,43,0,57,0,0,31,0,0,0,0,0,0,9,0,37,5,Pass
AAA,2013J,294570,3,0,0,0,242,0,407,0,1,894,0,0,0,0,0,0,25,0,43,3,Pass
AAA,2013J,294594,5,0,0,0,4,0,206,0,0,513,0,0,0,0,0,0,1,0,53,35,Pass
AAA,2013J,295741,0,0,0,0,104,0,209,0,0,257,0,0,0,0,0,0,17,0,87,18,Fail
AAA,2013J,296332,14,0,0,0,282,0,320,0,3,1249,0,0,0,0,0,0,3,0,14,2,Distinction
AAA,2013J,298696,3,0,0,0,17,0,112,0,0,222,0,0,0,0,0,0,26,0,58,17,Pass
AAA,2013J,300398,0,0,0,0,753,0,322,0,0,385,0,0,0,0,0,0,11,0,156,58,Pass
AAA,2013J,302302,11,0,0,0,96,0,89,0,0,184,0,0,0,0,0,0,10,0,63,4,Fail
AAA,2013J,305152,0,0,0,0,31,0,37,0,0,53,0,0,0,0,0,0,1,0,15,0,Fail
AAA,2013J,305386,2,0,0,0,22,0,195,0,0,801,0,0,0,0,0,0,6,0,19,0,Pass
AAA,2013J,306107,0,0,0,0,14,0,267,0,0,527,0,0,0,0,0,0,12,0,118,49,Pass
AAA,2013J,306466,9,0,0,0,97,1,229,0,1,683,0,0,0,0,0,0,11,0,27,3,Pass
AAA,2013J,306897,0,0,0,0,1513,0,629,0,0,188,0,0,0,0,0,0,10,0,47,2,Pass
AAA,2013J,307061,0,0,0,0,150,0,209,0,0,412,0,0,0,0,0,0,23,0,117,82,Pass
AAA,2013J,307866,0,0,0,0,229,0,323,0,1,742,0,0,0,0,0,0,3,0,107,20,Pass
AAA,2013J,311917,11,0,0,0,116,0,407,0,0,1162,0,0,0,0,0,0,18,0,198,100,Pass
AAA,2013J,312537,12,0,0,0,5435,0,4530,0,2,1770,0,0,0,0,0,0,19,0,204,130,Distinction
AAA,2013J,312782,0,0,0,0,42,0,122,0,0,31,0,0,0,0,0,0,9,0,26,1,Pass
AAA,2013J,318933,0,0,0,0,157,0,423,0,0,368,0,0,0,0,0,0,24,0,74,5,Pass
AAA,2013J,319047,8,0,0,0,3549,1,912,0,1,1301,0,0,0,0,0,0,97,0,331,110,Pass
AAA,2013J,321942,12,0,0,0,5240,0,1908,0,2,1587,0,0,0,0,0,0,8,0,288,213,Pass
AAA,2013J,324002,10,0,0,0,149,0,307,0,0,964,0,0,0,0,0,0,16,0,175,97,Pass
AAA,2013J,324084,15,0,0,0,316,0,423,0,0,1018,0,0,0,0,0,0,8,0,25,0,Pass
AAA,2013J,324282,0,0,0,0,25,0,51,0,0,17,0,0,0,0,0,0,1,0,7,1,Pass
AAA,2013J,331358,6,0,0,0,761,0,290,0,2,690,0,0,0,0,0,0,47,0,41,8,Withdrawn
AAA,2013J,332789,3,0,0,0,811,0,207,0,2,362,0,0,0,0,0,0,11,0,49,22,Pass
AAA,2013J,333059,0,0,0,0,5,1,69,0,0,168,0,0,0,0,0,0,9,0,44,4,Pass
AAA,2013J,333323,0,0,0,0,142,0,126,0,0,289,0,0,0,0,0,0,9,0,49,8,Pass
AAA,2013J,334259,0,0,0,0,65,0,68,0,0,101,0,0,0,0,0,0,5,0,33,1,Fail
AAA,2013J,334333,0,0,0,0,24,0,56,0,0,56,0,0,0,0,0,0,7,0,12,4,Withdrawn
AAA,2013J,335764,0,0,0,0,1031,0,524,0,0,369,0,0,0,0,0,0,2,0,92,54,Withdrawn
AAA,2013J,336207,20,0,0,0,119,0,267,0,0,756,0,0,0,0,0,0,6,0,110,11,Pass
AAA,2013J,339972,0,0,0,0,1,0,60,0,0,184,0,0,0,0,0,0,3,0,46,9,Pass
AAA,2013J,341872,0,0,0,0,25,0,71,0,0,54,0,0,0,0,0,0,6,0,42,3,Fail
AAA,2013J,342007,0,0,0,0,103,0,213,0,0,366,0,0,0,0,0,0,11,0,83,39,Withdrawn
AAA,2013J,342514,6,0,0,0,127,0,250,0,0,1094,0,0,0,0,0,0,1,0,107,76,Pass
AAA,2013J,342972,0,0,0,0,179,0,194,0,1,201,0,0,0,0,0,0,4,0,65,35,Pass
AAA,2013J,343446,3,0,0,0,1622,0,689,0,0,948,0,0,0,0,0,0,16,0,112,31,Pass
AAA,2013J,344282,0,0,0,0,0,0,19,0,0,23,0,0,0,0,0,0,3,0,20,0,Fail
AAA,2013J,345068,4,0,0,0,6,0,80,0,0,369,0,0,0,0,0,0,6,0,74,5,Pass
AAA,2013J,345357,8,0,0,0,336,0,382,0,0,1089,0,0,0,0,0,0,6,0,124,77,Distinction
AAA,2013J,346025,0,0,0,0,138,0,217,0,0,127,0,0,0,0,0,0,10,0,63,3,Pass
AAA,2013J,346843,0,0,0,0,5,0,28,0,0,113,0,0,0,0,0,0,0,0,15,3,Fail
AAA,2013J,350188,5,0,0,0,54,0,141,0,0,382,0,0,0,0,0,0,33,0,92,5,Pass
AAA,2013J,354858,0,0,0,0,4,0,9,0,0,39,0,0,0,0,0,0,0,0,2,0,Withdrawn
AAA,2013J,357668,0,0,0,0,7,2,61,0,0,45,0,0,0,0,0,0,8,0,38,5,Fail
AAA,2013J,364177,0,0,0,0,1,0,132,0,0,565,0,0,0,0,0,0,3,0,50,35,Fail
AAA,2013J,365244,7,0,0,0,229,0,113,0,0,284,0,0,0,0,0,0,9,0,60,24,Pass
AAA,2013J,365642,5,0,0,0,457,1,625,0,0,627,0,0,0,0,0,0,27,0,101,24,Pass
AAA,2013J,366483,19,0,0,0,13,0,379,0,0,770,0,0,0,0,0,0,3,0,113,73,Pass
AAA,2013J,368194,0,0,0,0,45,0,82,0,0,148,0,0,0,0,0,0,29,0,51,5,Pass
AAA,2013J,368824,0,0,0,0,73,0,54,0,0,46,0,0,0,0,0,0,12,0,43,11,Fail
AAA,2013J,368963,0,0,0,0,35,0,98,0,0,379,0,0,0,0,0,0,7,0,53,10,Pass
AAA,2013J,376439,0,0,0,0,945,0,588,0,0,308,0,0,0,0,0,0,13,0,80,34,Distinction
AAA,2013J,376581,16,0,0,0,208,0,483,0,0,1322,0,0,0,0,0,0,14,0,179,111,Pass
AAA,2013J,380953,0,0,0,0,56,0,254,0,1,601,0,0,0,0,0,0,10,0,62,3,Pass
AAA,2013J,383254,0,0,0,0,19,0,143,0,0,246,0,0,0,0,0,0,4,0,88,37,Pass
AAA,2013J,386924,0,0,0,0,9,0,67,0,0,46,0,0,0,0,0,0,5,0,28,9,Pass
AAA,2013J,386952,0,0,0,0,52,0,288,0,0,340,0,0,0,0,0,0,8,0,59,3,Pass
AAA,2013J,388722,0,0,0,0,221,0,149,0,0,174,0,0,0,0,0,0,10,0,46,8,Pass
AAA,2013J,388885,0,0,0,0,165,0,157,0,0,363,0,0,0,0,0,0,12,0,48,9,Pass
AAA,2013J,390890,3,0,0,0,73,0,151,0,0,250,0,0,0,0,0,0,14,0,61,22,Withdrawn
AAA,2013J,392756,0,0,0,0,45,0,100,0,0,161,0,0,0,0,0,0,8,0,15,1,Fail
AAA,2013J,392931,7,0,0,0,1208,0,675,0,0,887,0,0,0,0,0,0,20,0,121,25,Pass
AAA,2013J,393207,0,0,0,0,108,0,173,0,2,462,0,0,0,0,0,0,8,0,98,3,Pass
AAA,2013J,396872,3,0,0,0,75,0,276,0,0,506,0,0,0,0,0,0,19,0,89,2,Pass
AAA,2013J,398552,13,0,0,0,61,0,294,0,0,706,0,0,0,0,0,0,12,0,81,3,Fail
AAA,2013J,401869,0,0,0,0,137,2,212,0,0,348,0,0,0,0,0,0,17,0,76,32,Pass
AAA,2013J,402470,0,0,0,0,56,1,269,0,0,745,0,0,0,0,0,0,2,0,58,43,Pass
AAA,2013J,404804,0,0,0,0,23,0,70,0,0,173,0,0,0,0,0,0,7,0,71,4,Pass
AAA,2013J,405088,0,0,0,0,304,0,295,0,0,474,0,0,0,0,0,0,10,0,74,35,Pass
AAA,2013J,414117,0,0,0,0,43,0,208,0,0,456,0,0,0,0,0,0,12,0,56,3,Pass
AAA,2013J,415969,0,0,0,0,224,0,199,0,4,484,0,0,0,0,0,0,17,0,73,21,Withdrawn
AAA,2013J,420087,0,0,0,0,57,1,66,0,1,159,0,0,0,0,0,0,7,0,42,3,Fail
AAA,2013J,429958,0,0,0,0,41,0,63,0,0,270,0,0,0,0,0,0,8,0,28,1,Pass
AAA,2013J,441018,0,0,0,0,228,1,87,0,0,182,0,0,0,0,0,0,10,0,24,0,Pass
AAA,2013J,441888,0,0,0,0,135,0,170,0,0,341,0,0,0,0,0,0,15,0,57,12,Pass
AAA,2013J,442442,0,0,0,0,321,0,184,0,0,312,0,0,0,0,0,0,4,0,43,20,Withdrawn
AAA,2013J,444677,12,0,0,0,160,0,285,0,0,658,0,0,0,0,0,0,2,0,52,24,Distinction
AAA,2013J,470588,0,0,0,0,32,0,56,0,0,239,0,0,0,0,0,0,1,0,20,5,Withdrawn
AAA,2013J,489455,0,0,0,0,711,0,633,0,0,721,0,0,0,0,0,0,20,0,225,81,Pass
AAA,2013J,494424,0,0,0,0,12,0,8,0,0,17,0,0,0,0,0,0,0,0,6,0,Fail
AAA,2013J,495284,5,0,0,0,64,0,195,0,0,583,0,0,0,0,0,0,4,0,30,6,Pass
AAA,2013J,498857,14,0,0,0,14,0,200,0,1,582,0,0,0,0,0,0,3,0,53,4,Pass
AAA,2013J,508818,0,0,0,0,505,0,180,0,0,292,0,0,0,0,0,0,1,0,46,0,Pass
AAA,2013J,512460,0,0,0,0,58,0,103,0,0,269,0,0,0,0,0,0,8,0,61,3,Pass
AAA,2013J,544103,0,0,0,0,315,0,531,0,4,869,0,0,0,0,0,0,9,0,190,107,Pass
AAA,2013J,550383,3,0,0,0,73,0,153,0,3,476,0,0,0,0,0,0,3,0,53,3,Pass
AAA,2013J,564450,0,0,0,0,1,0,56,0,0,90,0,0,0,0,0,0,6,0,38,1,Fail
AAA,2013J,568601,0,0,0,0,1,0,36,0,0,419,0,0,0,0,0,0,2,0,21,9,Withdrawn
AAA,2013J,572652,5,0,0,0,7,0,111,0,0,605,0,0,0,0,0,0,10,0,38,2,Pass
AAA,2013J,580389,0,0,0,0,297,0,312,0,0,481,0,0,0,0,0,0,11,0,54,1,Pass
AAA,2013J,581129,0,0,0,0,36,0,54,0,0,77,0,0,0,0,0,0,2,0,25,0,Fail
AAA,2013J,588775,12,0,0,0,3386,2,1881,0,1,1460,0,0,0,0,0,0,49,0,149,7,Pass
AAA,2013J,591774,0,0,0,0,195,0,120,0,0,171,0,0,0,0,0,0,6,0,19,2,Pass
AAA,2013J,603861,3,0,0,0,7,0,137,0,0,716,0,0,0,0,0,0,7,0,43,5,Withdrawn
AAA,2013J,606143,0,0,0,0,58,0,67,0,0,184,0,0,0,0,0,0,0,0,21,2,Fail
AAA,2013J,704156,2,0,0,0,542,0,434,0,0,1680,0,0,0,0,0,0,29,0,166,108,Pass
AAA,2013J,705379,27,0,0,0,1565,0,1206,0,0,1938,0,0,0,0,0,0,43,0,276,139,Distinction
AAA,2013J,721259,0,0,0,0,479,3,57,0,3,146,0,0,0,0,0,0,2,0,30,19,Withdrawn
AAA,2013J,749412,7,0,0,0,1969,1,1059,0,0,348,0,0,0,0,0,0,12,0,181,71,Pass
AAA,2013J,760729,11,0,0,0,2489,3,1854,0,0,1776,0,0,0,0,0,0,33,0,432,200,Distinction
AAA,2013J,905042,4,0,0,0,290,8,667,0,0,1325,0,0,0,0,0,0,21,0,223,127,Pass
AAA,2013J,949618,0,0,0,0,822,0,243,0,0,99,0,0,0,0,0,0,5,0,39,27,Pass
AAA,2013J,958987,0,0,0,0,20,0,321,0,0,676,0,0,0,0,0,0,16,0,115,42,Pass
AAA,2013J,968578,3,0,0,0,99,0,146,0,1,547,0,0,0,0,0,0,4,0,24,3,Pass
AAA,2013J,969076,0,0,0,0,1081,0,430,0,1,380,0,0,0,0,0,0,6,0,34,1,Withdrawn
AAA,2013J,971027,14,0,0,0,346,0,545,0,1,1654,0,0,0,0,0,0,25,0,173,93,Pass
AAA,2013J,978739,8,0,0,0,2488,15,1047,0,4,1388,0,0,0,0,0,0,108,0,250,126,Pass
AAA,2013J,1035023,20,0,0,0,127,0,364,0,0,1227,0,0,0,0,0,0,17,0,45,2,Pass
AAA,2013J,1105478,0,0,0,0,253,0,352,0,6,676,0,0,0,0,0,0,20,0,170,29,Pass
AAA,2013J,1352868,0,0,0,0,71,0,110,0,0,373,0,0,0,0,0,0,1,0,47,4,Withdrawn
AAA,2013J,1401935,0,0,0,0,98,0,34,0,0,41,0,0,0,0,0,0,2,0,8,0,Fail
AAA,2013J,1402638,0,0,0,0,137,3,179,0,0,436,0,0,0,0,0,0,9,0,34,6,Pass
AAA,2013J,1414443,9,0,0,0,256,7,394,0,1,980,0,0,0,0,0,0,23,0,105,88,Fail
AAA,2013J,1456619,0,0,0,0,147,0,46,0,3,78,0,0,0,0,0,0,1,0,15,4,Withdrawn
AAA,2013J,1465690,26,0,0,0,1111,0,781,0,0,1138,0,0,0,0,0,0,11,0,111,78,Pass
AAA,2013J,1472925,2,0,0,0,224,3,243,0,0,380,0,0,0,0,0,0,8,0,59,20,Fail
AAA,2013J,1488959,4,0,0,0,825,0,523,0,2,1787,0,0,0,0,0,0,5,0,120,63,Pass
AAA,2013J,1518989,12,0,0,0,2267,0,573,0,1,947,0,0,0,0,0,0,10,0,118,83,Pass
AAA,2013J,1618738,0,0,0,0,118,1,85,0,0,432,0,0,0,0,0,0,17,0,53,1,Pass
